,assignee,assignee_url,epic_link,issuetype,issuetype_icon,key,priority,priority_rank,priority_url,project,status,summary,updated
0,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Task,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10318&avatarType=issuetype,DEV-12,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,DevOps,Done,Get all ghost instances running,2019-03-12T03:02:12.418-0400
1,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Task,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10318&avatarType=issuetype,DEV-11,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,DevOps,Done,Intregratiin between jira and github issues,2019-03-12T03:02:12.302-0400
2,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Task,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10318&avatarType=issuetype,DEV-9,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,DevOps,Done,Create new jira projects with relevant workflows and issue types to match live projects,2019-03-12T03:02:12.203-0400
3,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Task,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10318&avatarType=issuetype,DEV-13,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,DevOps,Done,Link jira projects to repos ,2019-03-12T03:02:12.062-0400
4,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Task,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10318&avatarType=issuetype,LINK-2,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,linkbox,To Do,[ImgBot] Optimize images,2019-03-12T03:02:11.648-0400
5,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Task,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10318&avatarType=issuetype,HAPI-1,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,hackersndslackers-api,Done,[ImgBot] Optimize images,2019-03-12T03:02:11.503-0400
6,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Story,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10315&avatarType=issuetype,TE-3,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,Tableau Extraction,To Do,Modal to handle target dB credentials ,2019-03-12T03:02:11.337-0400
7,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Story,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10315&avatarType=issuetype,TE-2,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,Tableau Extraction,To Do,Extract scheduler,2019-03-12T03:02:11.219-0400
8,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Story,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10315&avatarType=issuetype,TE-1,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,Tableau Extraction,To Do,Allow users to switch between tableau “sites”,2019-03-12T03:02:11.096-0400
9,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Task,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10318&avatarType=issuetype,DEV-15,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,DevOps,Done,Migrate all apps from node server to main,2019-03-12T03:02:10.965-0400
10,Todd Birchard,https://avatar-cdn.atlassian.com/9eb3868db428fb602e03b3059608199b?s=48&d=https%3A%2F%2Fsecure.gravatar.com%2Favatar%2F9eb3868db428fb602e03b3059608199b%3Fd%3Dmm%26s%3D48%26noRedirect%3Dtrue,,Task,https://hackersandslackers.atlassian.net/secure/viewavatar?size=xsmall&avatarId=10318&avatarType=issuetype,HAPI-2,Medium,3,https://hackersandslackers.atlassian.net/images/icons/priorities/medium.svg,hackersndslackers-api,Done,Wrap up link-embedder,2019-03-12T03:02:10.240-0400
